---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

214,52964e4bbdf9203d66ccf891,f000071/000,INVALID
215,52964e4bbdf9203d66ccf892,f000072/000,INVALID
216,52964e4bbdf9203d66ccf893,f000073/000,INVALID
217,52964e4bbdf9203d66ccf894,f000074/000,INVALID
218,52964e4bbdf9203d66ccf895,f000075/000,INVALID
219,52964e4bbdf9203d66ccf896,f000076/000,INVALID
220,52964e4bbdf9203d66ccf897,f000077/000,INVALID
221,52964e4bbdf9203d66ccf898,f000078/000,INVALID
222,52964e4bbdf9203d66ccf899,f000079/001,INVALID
223,52964e4bbdf9203d66ccf89a,f000079/002,INVALID
224,52964e4bbdf9203d66ccf89b,f000079/003,INVALID
225,52964e4bbdf9203d66ccf89c,f000079/004,INVALID
226,52964e4bbdf9203d66ccf89d,f000079/005,INVALID
227,52964e4bbdf9203d66ccf89e,f000079/006,INVALID
228,52964e4bbdf9203d66ccf89f,f000079/007,INVALID
229,52964e4bbdf9203d66ccf8a0,f000079/008,INVALID
230,52964e4bbdf9203d66ccf8a1,f000079/009,INVALID
231,52964e4bbdf9203d66ccf8a2,f000079/010,INVALID
232,52964e4bbdf9203d66ccf8a3,f000079/011,INVALID
233,52964e4bbdf9203d66ccf8a4,f000079/012,INVALID
234,52964e4bbdf9203d66ccf8a5,f000079/013,INVALID
235,52964e4bbdf9203d66ccf8a6,f000079/014,INVALID
236,52964e4bbdf9203d66ccf8a7,f000079/015,INVALID
237,52964e4bbdf9203d66ccf8a8,f000080/001,INVALID
238,52964e4bbdf9203d66ccf8a9,f000080/002,INVALID
239,52964e4bbdf9203d66ccf8aa,f000080/003,INVALID
